Datetime,Region,Consumption_MW
2024-01-01 00:00:00,East_Coast,552.8242246435377
2024-01-01 01:00:00,East_Coast,
2024-01-01 02:00:00,East_Coast,620.8928648923629
2024-01-01 03:00:00,East_Coast,637.9793634411153
2024-01-01 04:00:00,East_Coast,598.4801282725734
2024-01-01 05:00:00,East_Coast,766.2195342902177
2024-01-01 06:00:00,East_Coast,734.8219332934735
2024-01-01 07:00:00,East_Coast,699.7658698485347
2024-01-01 08:00:00,East_Coast,728.1384126527413
2024-01-01 09:00:00,East_Coast,606.7656239022687
2024-01-01 10:00:00,East_Coast,633.8603490486007
2024-01-01 11:00:00,East_Coast,560.5712145011594
2024-01-01 12:00:00,East_Coast,466.1285740561951
2024-01-01 13:00:00,East_Coast,438.5139976176887
2024-01-01 14:00:00,East_Coast,355.1650446571125
2024-01-01 15:00:00,East_Coast,348.932395030616
2024-01-01 16:00:00,East_Coast,273.7436979910396
2024-01-01 17:00:00,East_Coast,379.31023050231187
2024-01-01 18:00:00,East_Coast,351.2564313623691
2024-01-01 19:00:00,East_Coast,283.9651798185487
2024-01-01 20:00:00,East_Coast,281.6659250445858
2024-01-01 21:00:00,East_Coast,330.4962893956442
2024-01-01 22:00:00,East_Coast,380.90050643004685
2024-01-01 23:00:00,East_Coast,466.3410709450991
2024-01-02 00:00:00,East_Coast,602.4103385360845
2024-01-02 01:00:00,East_Coast,588.2813308183179
2024-01-02 02:00:00,East_Coast,650.548368181855
2024-01-02 03:00:00,East_Coast,656.7123592282244
2024-01-02 04:00:00,East_Coast,573.7118736531672
2024-01-02 05:00:00,East_Coast,754.9424217135874
2024-01-02 06:00:00,East_Coast,791.5382859358199
2024-01-02 07:00:00,East_Coast,674.0556490581482
2024-01-02 08:00:00,East_Coast,682.0275926239378
2024-01-02 09:00:00,East_Coast,685.9690167743587
2024-01-02 10:00:00,East_Coast,586.7822667424815
2024-01-02 11:00:00,East_Coast,581.4672837252232
2024-01-02 12:00:00,East_Coast,534.7750929449925
2024-01-02 13:00:00,East_Coast,426.50592309965884
2024-01-02 14:00:00,East_Coast,479.95414140936236
2024-01-02 15:00:00,East_Coast,424.81762104119935
2024-01-02 16:00:00,East_Coast,332.66501505321514
2024-01-02 17:00:00,East_Coast,
2024-01-02 18:00:00,East_Coast,156.42908304944214
2024-01-02 19:00:00,East_Coast,313.38469163497956
2024-01-02 20:00:00,East_Coast,286.5105571950157
2024-01-02 21:00:00,East_Coast,387.5428576758173
2024-01-02 22:00:00,East_Coast,444.91328350691356
2024-01-02 23:00:00,East_Coast,440.2933529112651
2024-01-03 00:00:00,East_Coast,479.9194026204787
2024-01-03 01:00:00,East_Coast,
