time_stamp,location,power_mw
2024-01-01 00:00:00,Mid-West,383.4196910939939
2024-01-01 01:00:00,Mid-West,460.9236911395044
2024-01-01 02:00:00,Mid-West,500.4117811637219
2024-01-01 03:00:00,Mid-West,493.12629229976363
2024-01-01 04:00:00,Mid-West,530.6434217573535
2024-01-01 05:00:00,Mid-West,520.0500250173646
2024-01-01 06:00:00,Mid-West,519.8885834707014
2024-01-01 07:00:00,Mid-West,596.227247272524
2024-01-01 08:00:00,Mid-West,490.4616196174902
2024-01-01 09:00:00,Mid-West,482.5841047346514
2024-01-01 11:00:00,Mid-West,441.8171211485977
2024-01-01 12:00:00,Mid-West,330.6562083724321
2024-01-01 13:00:00,Mid-West,339.797298845953
2024-01-01 14:00:00,Mid-West,318.27308180997704
2024-01-01 15:00:00,Mid-West,310.60264946662886
2024-01-01 16:00:00,Mid-West,237.6232461990687
2024-01-01 17:00:00,Mid-West,287.1503746305033
2024-01-01 18:00:00,Mid-West,208.86066465733984
2024-01-01 19:00:00,Mid-West,214.38588671510882
2024-01-01 20:00:00,Mid-West,258.9235681871693
2024-01-01 21:00:00,Mid-West,264.85871630454335
2024-01-01 22:00:00,Mid-West,291.97401472198584
2024-01-01 23:00:00,Mid-West,348.40374698846483
2024-01-02 00:00:00,Mid-West,394.7643743114235
2024-01-02 01:00:00,Mid-West,451.1759334618473
2024-01-02 02:00:00,Mid-West,464.1883031848823
2024-01-02 03:00:00,Mid-West,483.6700385045166
2024-01-02 04:00:00,Mid-West,5147.396988925802
2024-01-02 05:00:00,Mid-West,518.8466717084992
2024-01-02 06:00:00,Mid-West,612.1718018476223
2024-01-02 07:00:00,Mid-West,569.1833412347113
2024-01-02 08:00:00,Mid-West,567.4317184393469
2024-01-02 09:00:00,Mid-West,526.2595583359488
2024-01-02 10:00:00,Mid-West,452.64028865766034
2024-01-02 11:00:00,Mid-West,440.978064183328
2024-01-02 12:00:00,Mid-West,379.6646869677801
2024-01-02 13:00:00,Mid-West,354.01498461572857
2024-01-02 14:00:00,Mid-West,288.0345115511246
2024-01-02 15:00:00,Mid-West,299.83241855261593
2024-01-02 16:00:00,Mid-West,294.6569043163737
2024-01-02 17:00:00,Mid-West,262.7611156394619
2024-01-02 18:00:00,Mid-West,247.66742444871545
2024-01-02 20:00:00,Mid-West,286.7841068286752
2024-01-02 21:00:00,Mid-West,273.8823045204206
2024-01-02 22:00:00,Mid-West,300.10130638947606
2024-01-02 23:00:00,Mid-West,367.53705621875065
2024-01-03 00:00:00,Mid-West,391.89607891782595
2024-01-03 01:00:00,Mid-West,417.0597654987565
2024-01-03 02:00:00,Mid-West,503.89923431216306
2024-01-03 03:00:00,Mid-West,466.1710872877742
2024-01-03 04:00:00,Mid-West,534.4482369541153
2024-01-03 05:00:00,Mid-West,560.8795043229309
2024-01-03 06:00:00,Mid-West,517.5887865764631
2024-01-03 07:00:00,Mid-West,518.0398831932691
2024-01-03 08:00:00,Mid-West,520.9434155944231
2024-01-03 09:00:00,Mid-West,476.9108172394179
2024-01-03 10:00:00,Mid-West,463.91142663897585
2024-01-03 11:00:00,Mid-West,399.0478635596039
2024-01-03 12:00:00,Mid-West,419.16948342487115
2024-01-03 13:00:00,Mid-West,353.1308039038423
2024-01-03 14:00:00,Mid-West,267.27784347924796
2024-01-03 15:00:00,Mid-West,349.01192014928114
2024-01-03 16:00:00,Mid-West,316.4646755179143
2024-01-03 17:00:00,Mid-West,254.9732482713434
2024-01-03 18:00:00,Mid-West,293.90265703515433
2024-01-03 20:00:00,Mid-West,240.38504856933196
2024-01-03 21:00:00,Mid-West,281.9065390657312
2024-01-03 22:00:00,Mid-West,277.18577273331834
2024-01-03 23:00:00,Mid-West,374.724299742466
2024-01-04 00:00:00,Mid-West,355.3146227881565
2024-01-04 01:00:00,Mid-West,418.8150916125419
2024-01-04 02:00:00,Mid-West,430.17847361497195
2024-01-04 03:00:00,Mid-West,498.95208241216943
2024-01-04 04:00:00,Mid-West,549.9426819017868
2024-01-04 05:00:00,Mid-West,545.1766783329264
2024-01-04 06:00:00,Mid-West,559.9042257884249
2024-01-04 07:00:00,Mid-West,508.1423173080589
2024-01-04 08:00:00,Mid-West,587.2474343322688
2024-01-04 09:00:00,Mid-West,546.89270190248
2024-01-04 10:00:00,Mid-West,516.5975292657563
2024-01-04 11:00:00,Mid-West,497.4527416088781
2024-01-04 12:00:00,Mid-West,351.36105726960125
2024-01-04 13:00:00,Mid-West,402.0131224122871
2024-01-04 14:00:00,Mid-West,307.1753116337592
2024-01-04 15:00:00,Mid-West,315.0212216257544
2024-01-04 16:00:00,Mid-West,239.13175807967795
2024-01-04 17:00:00,Mid-West,250.43277374613479
2024-01-04 18:00:00,Mid-West,260.4988135021294
2024-01-04 19:00:00,Mid-West,283.0975875124506
2024-01-04 20:00:00,Mid-West,224.2294456574349
2024-01-04 21:00:00,Mid-West,275.2407833578834
2024-01-04 22:00:00,Mid-West,342.41072933047525
2024-01-04 23:00:00,Mid-West,336.6031631983863
2024-01-05 00:00:00,Mid-West,415.29969980776235
2024-01-05 01:00:00,Mid-West,413.8520193689459
2024-01-05 02:00:00,Mid-West,481.6947222656929
2024-01-05 03:00:00,Mid-West,493.1373582268428
2024-01-05 04:00:00,Mid-West,518.7596701201762
2024-01-05 05:00:00,Mid-West,573.6543946545002
2024-01-05 06:00:00,Mid-West,488.64553174976606
2024-01-05 07:00:00,Mid-West,532.6692412441113
2024-01-05 08:00:00,Mid-West,540.1960983940367
2024-01-05 09:00:00,Mid-West,472.5360939529155
2024-01-05 10:00:00,Mid-West,500.12193543357046
2024-01-05 11:00:00,Mid-West,478.3125533750875
2024-01-05 12:00:00,Mid-West,376.77259579890415
2024-01-05 13:00:00,Mid-West,325.18288973675885
2024-01-05 14:00:00,Mid-West,351.99566945290474
2024-01-05 15:00:00,Mid-West,274.5924948920337
2024-01-05 16:00:00,Mid-West,239.39901840510373
2024-01-05 17:00:00,Mid-West,270.5142989839316
2024-01-05 18:00:00,Mid-West,266.2991377275473
2024-01-05 19:00:00,Mid-West,258.02344139654076
2024-01-05 20:00:00,Mid-West,271.3777600296629
2024-01-05 21:00:00,Mid-West,287.7410021457313
2024-01-05 22:00:00,Mid-West,298.1255529014476
2024-01-05 23:00:00,Mid-West,305.16468482541705
2024-01-06 00:00:00,Mid-West,399.0861249482414
2024-01-06 01:00:00,Mid-West,427.7995419059534
2024-01-06 02:00:00,Mid-West,434.4544580941825
2024-01-06 03:00:00,Mid-West,501.6707473248334
2024-01-06 04:00:00,Mid-West,589.0155517045274
2024-01-06 05:00:00,Mid-West,577.9419611366825
2024-01-06 06:00:00,Mid-West,607.8566923992333
2024-01-06 07:00:00,Mid-West,513.5064139961878
2024-01-06 08:00:00,Mid-West,538.6946745549116
2024-01-06 09:00:00,Mid-West,518.1927105141823
2024-01-06 10:00:00,Mid-West,422.7708099540886
2024-01-06 11:00:00,Mid-West,454.37491225440385
2024-01-06 12:00:00,Mid-West,420.51617480565193
2024-01-06 13:00:00,Mid-West,344.5447309830279
2024-01-06 14:00:00,Mid-West,297.4581547282079
2024-01-06 15:00:00,Mid-West,261.53810636940705
2024-01-06 16:00:00,Mid-West,286.03951103886976
2024-01-06 17:00:00,Mid-West,215.37569834145347
2024-01-06 18:00:00,Mid-West,242.48732834155498
2024-01-06 19:00:00,Mid-West,277.60409117756745
2024-01-06 20:00:00,Mid-West,280.8635836219703
2024-01-06 21:00:00,Mid-West,320.2356566304244
2024-01-06 22:00:00,Mid-West,291.68056384447215
2024-01-06 23:00:00,Mid-West,351.55633250918885
2024-01-07 00:00:00,Mid-West,420.0754936112514
2024-01-07 01:00:00,Mid-West,402.41091174774374
2024-01-07 02:00:00,Mid-West,408.65057278380107
2024-01-07 03:00:00,Mid-West,498.76737824048
2024-01-07 05:00:00,Mid-West,508.9867848255088
2024-01-07 06:00:00,Mid-West,531.3768849501188
2024-01-07 07:00:00,Mid-West,552.5053990632887
2024-01-07 08:00:00,Mid-West,482.60319129319345
2024-01-07 09:00:00,Mid-West,451.53601817376807
2024-01-07 10:00:00,Mid-West,462.3325931269284
